DarkBlue 0 0 139
Burlywood 222 184 135
DeepSkyBlue4 0 104 139
IndianRed2 238 99 99
SteelBlue 70 130 180
Cyan3 0 205 205
DarkSeaGreen4 105 139 105
NavajoWhite 255 222 173
VioletRed4 139 34 82
Maroon2 238 48 167
Magenta4 139 0 139
Cyan4 0 139 139
DarkKhaki 189 183 107
CadetBlue3 122 197 205
DarkOliveGreen4 110 139 61
DeepSkyBlue2 0 178 238
Grey 190 190 190
DarkGreen 0 100 0
Peru 205 133 63
Snow3 205 201 201
DarkOrange 255 140 0
DimGrey 105 105 105
PaleTurquoise2 174 238 238
PaleGreen4 84 139 84
Plum2 238 174 238
VioletRed3 205 50 120
LightSeaGreen 32 178 170
PapayaWhip 255 239 213
DarkOliveGreen2 188 238 104
PaleVioletRed4 139 71 93
LightPink2 238 162 173
LightCoral 240 128 128
OliveDrab4 105 139 34
MediumOrchid4 122 55 139
VioletRed2 238 58 140
Seashell2 238 229 222
CadetBlue 95 158 160
Pink4 139 99 108
Tomato 255 99 71
DarkOrchid4 104 34 139
Red2 238 0 0
Plum3 205 150 205
LightPink4 139 95 101
MistyRose2 238 213 210
Salmon2 238 130 98
Magenta3 205 0 205
NavajoWhite3 205 179 139
DarkGoldenrod 184 134 11
LemonChiffon 255 250 205
RoyalBlue 65 105 225
SpringGreen2 0 238 118
NavajoWhite4 139 121 94
LightYellow 255 255 224
gray9 232 232 232
Thistle 216 191 216
SkyBlue 135 206 235
Wheat2 238 216 174
Cyan 0 255 255
MistyRose3 205 183 181
Salmon 250 128 114
SteelBlue4 54 100 139
MediumPurple4 93 71 139
grey4 105 105 105
Tan2 238 154 73
LightSteelBlue4 110 123 139
SeaGreen4 46 139 87
Turquoise3 0 197 205
PaleTurquoise4 102 139 139
DarkSlateGray3 121 205 205
MediumSlateBlue 123 104 238
IndianRed4 139 58 58
Aquamarine3 102 205 170
Chocolate2 238 118 33
PowderBlue 176 224 230
PeachPuff3 205 175 149
Orange3 205 133 0
SeaGreen2 78 238 148
Moccasin 255 228 181
Ivory3 205 205 193
Gold4 139 117 0
Maroon4 139 28 98
Thistle2 238 210 238
DarkTurquoise 0 206 209
DarkSlateGray2 141 238 238
PaleGoldenrod 238 232 170
Wheat3 205 186 150
OliveDrab2 179 238 58
BlueViolet 138 43 226
SlateGray4 108 123 139
DeepPink3 205 16 118
DarkOrchid2 178 58 238
Honeydew 240 255 240
LightCyan 224 255 255
Thistle4 139 123 139
RosyBrown4 139 105 105
Violet 238 130 238
AntiqueWhite3 205 192 176
Firebrick4 139 26 26
